資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
"1131219","4113","聯上","9.78","0","0.00","1.49"
"1131219","4114","健喬","20.27","1.60000000","4.78","1.99"
"1131219","4116","明基醫","17.92","2.00000000","4.31","1.88"
"1131219","4120","友華","21.45","1.00000000","2.12","0.78"
"1131219","4121","優盛","N/A","0.50000000","3.14","0.90"
"1131219","4123","晟德","N/A","1.43061008","3.41","1.57"
"1131219","4126","太醫","16.61","4.80000000","5.08","2.43"
"1131219","4127","天良","127.81","0.50000000","1.22","3.93"
"1131219","4128","中天","N/A","0.49999999","1.49","1.81"
"1131219","4129","聯合","19.72","4.00266145","4.30","2.41"
"1131219","4130","健亞","149.29","0.45000000","2.15","1.58"
"1131219","4131","浩泰","N/A","0","0.00","4.60"
"1131219","4138","曜亞","16.83","7.75000000","8.50","2.29"
"1131219","4139","馬光-KY","N/A","0","0.00","2.98"
"1131219","4147","中裕","N/A","0","0.00","5.43"
"1131219","4153","鈺緯","25.49","1.25000000","3.23","2.20"
"1131219","4154","樂威科-KY","N/A","0","0.00","1.80"
"1131219","4157","太景*-KY","45.42","0","0.00","7.03"
"1131219","4160","訊聯基因","32.05","1.01193677","1.44","3.26"
"1131219","4161","聿新科","16.81","0.70000000","2.22","1.92"
"1131219","4162","智擎","34.41","1.50000000","1.72","3.15"
"1131219","4163","鐿鈦","27.66","3.50000000","3.06","2.24"
"1131219","4167","松瑞藥","34.12","0.08510000","0.44","1.78"
"1131219","4168","醣聯","N/A","0","0.00","2.55"
"1131219","4171","瑞基","N/A","0","0.00","2.08"
"1131219","4173","久裕","17.60","0.91967604","4.32","0.85"
"1131219","4174","浩鼎","N/A","0","0.00","5.66"
"1131219","4175","杏一","118.52","1.59869966","2.50","1.93"
"1131219","4183","福永生技","17.83","0.80000000","3.53","1.72"
"1131219","4188","安克","N/A","0","0.00","2.35"
"1131219","4192","杏國","3460.00","0","0.00","3.90"
"1131219","4198","欣大健康","7.16","0","0.00","2.93"
"1131219","4205","中華食","21.15","3.00000000","3.41","3.95"
"1131219","4207","環泰","15.33","1.00000000","6.21","1.18"
"1131219","4303","信立","10.77","1.16441658","2.39","2.66"
"1131219","4304","勝昱","N/A","0","0.00","6.36"
"1131219","4305","世坤","12.85","2.50000000","5.97","1.99"
"1131219","4401","東隆興","34.49","0.50000000","2.46","0.94"
"1131219","4402","郡都開發","N/A","0","0.00","2.73"
"1131219","4406","新昕纖","N/A","0","0.00","0.95"
"1131219","4413","飛寶企業","N/A","0.40000000","2.32","1.60"
"1131219","4416","三圓","925.00","1.98805698","2.69","2.95"
"1131219","4417","金洲","10.33","2.00000000","4.85","1.19"
"1131219","4419","皇家美食","N/A","0","0.00","8.69"
"1131219","4420","光明","1.17","20.00000000","36.17","1.52"
"1131219","4430","耀億","N/A","0.50000000","2.10","0.74"
"1131219","4432","銘旺實","17.98","0.69000000","3.05","0.82"
"1131219","4433","興采","55.71","1.00000000","3.66","0.87"
"1131219","4442","竣邦-KY","15.86","0.80000000","2.03","1.94"
"1131219","4502","健信","108.33","0","0.00","1.61"
"1131219","4503","金雨","N/A","0","0.00","3.36"
"1131219","4506","崇友","19.73","4.00000000","3.92","3.43"
"1131219","4510","高鋒","46.54","0.70000000","1.45","2.78"
"1131219","4513","福裕","N/A","0.80000000","2.45","2.73"
"1131219","4523","永彰","N/A","0","0.00","2.75"
"1131219","4527","方土霖","10.04","2.40000000","5.31","2.04"
"1131219","4528","江興鍛","285.56","0.60000000","2.33","0.95"
"1131219","4529","淳紳","N/A","0","0.00","1.65"
"1131219","4530","宏易","N/A","0","0.00","3.67"
"1131219","4533","協易機","41.67","1.16479823","2.91","2.42"
"1131219","4534","慶騰","N/A","0","0.00","3.06"
"1131219","4535","至興","14.34","1.60000000","4.73","1.03"
"1131219","4538","大詠城","25.32","0.79816602","4.04","1.31"
"1131219","4541","晟田","3505.00","0","0.00","1.51"
"1131219","4542","科嶠","N/A","1.50000000","1.69","4.31"
"1131219","4543","萬在","23.70","1.50000000","3.75","1.34"
"1131219","4549","桓達","38.52","4.20000000","2.41","5.41"
"1131219","4550","長佳","11.20","2.10000000","7.75","1.13"
